ZICDFULLID,ICD_GROUP,ICD_GROUP_DESC,ZICD3CHARID,ICD3CHAR_DESC,SHORTDESC
F538,F50-F59,"Behavioural syndromes associated with psychological disturbances and physical factors
",F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified","Other mental and behavioural disorders associated with the puerperium, not elsewhere classified"
F539,F50-F59,"Behavioural syndromes associated with psychological disturbances and physical factors
",F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified","Puerperal mental disorder, unspecified"
F54,F50-F59,"Behavioural syndromes associated with psychological disturbances and physical factors
",F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Psychological and behavioural factors associated with disorders or diseases classified elsewhere
F55,F50-F59,"Behavioural syndromes associated with psychological disturbances and physical factors
",F55,Abuse of non-dependence-producing substances,Abuse of non-dependence-producing substances
F59,F50-F59,"Behavioural syndromes associated with psychological disturbances and physical factors
",F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,Unspecified behavioural syndromes associated with physiological disturbances and physical factors
F60,F60-F69,"Disorders of adult personality and behaviour
",F60,Specific personality disorders,Specific personality disorders
F600,F60-F69,"Disorders of adult personality and behaviour
",F60,Specific personality disorders,Paranoid personality disorder
F601,F60-F69,"Disorders of adult personality and behaviour
",F60,Specific personality disorders,Schizoid personality disorder
F602,F60-F69,"Disorders of adult personality and behaviour
",F60,Specific personality disorders,Dissocial personality disorder
F603,F60-F69,"Disorders of adult personality and behaviour
",F60,Specific personality disorders,Emotionally unstable personality disorder
F604,F60-F69,"Disorders of adult personality and behaviour
",F60,Specific personality disorders,Histrionic personality disorder
F605,F60-F69,"Disorders of adult personality and behaviour
",F60,Specific personality disorders,Anankastic personality disorder
F606,F60-F69,"Disorders of adult personality and behaviour
",F60,Specific personality disorders,Anxious [avoidant] personality disorder
F607,F60-F69,"Disorders of adult personality and behaviour
",F60,Specific personality disorders,Dependent personality disorder
F608,F60-F69,"Disorders of adult personality and behaviour
",F60,Specific personality disorders,Other specific personality disorders
F609,F60-F69,"Disorders of adult personality and behaviour
",F60,Specific personality disorders,"Personality disorder, unspecified"
F61,F60-F69,"Disorders of adult personality and behaviour
",F61,Mixed and other personality disorders,Mixed and other personality disorders
F62,F60-F69,"Disorders of adult personality and behaviour
",F62,"Enduring personality changes, not attributable to brain damage and disease","Enduring personality changes, not attributable to brain damage and disease"
F620,F60-F69,"Disorders of adult personality and behaviour
",F62,"Enduring personality changes, not attributable to brain damage and disease",Enduring personality change after catastrophic experience
F621,F60-F69,"Disorders of adult personality and behaviour
",F62,"Enduring personality changes, not attributable to brain damage and disease",Enduring personality change after psychiatric illness
F628,F60-F69,"Disorders of adult personality and behaviour
",F62,"Enduring personality changes, not attributable to brain damage and disease",Other enduring personality changes
F629,F60-F69,"Disorders of adult personality and behaviour
",F62,"Enduring personality changes, not attributable to brain damage and disease","Enduring personality change, unspecified"
F63,F60-F69,"Disorders of adult personality and behaviour
",F63,Habit and impulse disorders,Habit and impulse disorders
F630,F60-F69,"Disorders of adult personality and behaviour
",F63,Habit and impulse disorders,Pathological gambling
F631,F60-F69,"Disorders of adult personality and behaviour
",F63,Habit and impulse disorders,Pathological fire-setting [pyromania]
F632,F60-F69,"Disorders of adult personality and behaviour
",F63,Habit and impulse disorders,Pathological stealing [kleptomania]
F633,F60-F69,"Disorders of adult personality and behaviour
",F63,Habit and impulse disorders,Trichotillomania
F638,F60-F69,"Disorders of adult personality and behaviour
",F63,Habit and impulse disorders,Other habit and impulse disorders
F639,F60-F69,"Disorders of adult personality and behaviour
",F63,Habit and impulse disorders,"Habit and impulse disorder, unspecified"
F64,F60-F69,"Disorders of adult personality and behaviour
",F64,Gender identity disorders,Gender identity disorders
F640,F60-F69,"Disorders of adult personality and behaviour
",F64,Gender identity disorders,Transsexualism
F641,F60-F69,"Disorders of adult personality and behaviour
",F64,Gender identity disorders,Dual-role transvestism
F642,F60-F69,"Disorders of adult personality and behaviour
",F64,Gender identity disorders,Gender identity disorder of childhood
F648,F60-F69,"Disorders of adult personality and behaviour
",F64,Gender identity disorders,Other gender identity disorders
F649,F60-F69,"Disorders of adult personality and behaviour
",F64,Gender identity disorders,"Gender identity disorder, unspecified"
F65,F60-F69,"Disorders of adult personality and behaviour
",F65,Disorders of sexual preference,Disorders of sexual preference
F650,F60-F69,"Disorders of adult personality and behaviour
",F65,Disorders of sexual preference,Fetishism
F651,F60-F69,"Disorders of adult personality and behaviour
",F65,Disorders of sexual preference,Fetishistic transvestism
F652,F60-F69,"Disorders of adult personality and behaviour
",F65,Disorders of sexual preference,Exhibitionism
F653,F60-F69,"Disorders of adult personality and behaviour
",F65,Disorders of sexual preference,Voyeurism
F654,F60-F69,"Disorders of adult personality and behaviour
",F65,Disorders of sexual preference,Paedophilia
F655,F60-F69,"Disorders of adult personality and behaviour
",F65,Disorders of sexual preference,Sadomasochism
F656,F60-F69,"Disorders of adult personality and behaviour
",F65,Disorders of sexual preference,Multiple disorders of sexual preference
F658,F60-F69,"Disorders of adult personality and behaviour
",F65,Disorders of sexual preference,Other disorders of sexual preference
F659,F60-F69,"Disorders of adult personality and behaviour
",F65,Disorders of sexual preference,"Disorder of sexual preference, unspecified"
F66,F60-F69,"Disorders of adult personality and behaviour
",F66,Psychological and behavioural disorders associated with sexual development and orientation,Psychological and behavioural disorders associated with sexual development and orientation
F660,F60-F69,"Disorders of adult personality and behaviour
",F66,Psychological and behavioural disorders associated with sexual development and orientation,Sexual maturation disorder
F661,F60-F69,"Disorders of adult personality and behaviour
",F66,Psychological and behavioural disorders associated with sexual development and orientation,Egodystonic sexual orientation
F662,F60-F69,"Disorders of adult personality and behaviour
",F66,Psychological and behavioural disorders associated with sexual development and orientation,Sexual relationship disorder
F668,F60-F69,"Disorders of adult personality and behaviour
",F66,Psychological and behavioural disorders associated with sexual development and orientation,Other psychosexual development disorders
F669,F60-F69,"Disorders of adult personality and behaviour
",F66,Psychological and behavioural disorders associated with sexual development and orientation,"Psychosexual development disorder, unspecified"
F68,F60-F69,"Disorders of adult personality and behaviour
",F68,Other disorders of adult personality and behaviour,Other disorders of adult personality and behaviour
F680,F60-F69,"Disorders of adult personality and behaviour
",F68,Other disorders of adult personality and behaviour,Elaboration of physical symptoms for psychological reasons
F681,F60-F69,"Disorders of adult personality and behaviour
",F68,Other disorders of adult personality and behaviour,"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]"
F688,F60-F69,"Disorders of adult personality and behaviour
",F68,Other disorders of adult personality and behaviour,Other specified disorders of adult personality and behaviour
F69,F60-F69,"Disorders of adult personality and behaviour
",F69,Unspecified disorder of adult personality and behaviour,Unspecified disorder of adult personality and behaviour
F70,F70-F79,"Mental retardation
",F70,Mild mental retardation,Mild mental retardation
F71,F70-F79,"Mental retardation
",F71,Moderate mental retardation,Moderate mental retardation
F72,F70-F79,"Mental retardation
",F72,Severe mental retardation,Severe mental retardation
F73,F70-F79,"Mental retardation
",F73,Profound mental retardation,Profound mental retardation
F78,F70-F79,"Mental retardation
",F78,Other mental retardation,Other mental retardation
F79,F70-F79,"Mental retardation
",F79,Unspecified mental retardation,Unspecified mental retardation
F80,F80-F89,"Disorders of psychological development
",F80,Specific developmental disorders of speech and language,Specific developmental disorders of speech and language
F800,F80-F89,"Disorders of psychological development
",F80,Specific developmental disorders of speech and language,Specific speech articulation disorder
F801,F80-F89,"Disorders of psychological development
",F80,Specific developmental disorders of speech and language,Expressive language disorder
F802,F80-F89,"Disorders of psychological development
",F80,Specific developmental disorders of speech and language,Receptive language disorder
F803,F80-F89,"Disorders of psychological development
",F80,Specific developmental disorders of speech and language,Acquired aphasia with epilepsy [Landau-Kleffner]
F808,F80-F89,"Disorders of psychological development
",F80,Specific developmental disorders of speech and language,Other developmental disorders of speech and language
F809,F80-F89,"Disorders of psychological development
",F80,Specific developmental disorders of speech and language,"Developmental disorder of speech and language, unspecified"
F81,F80-F89,"Disorders of psychological development
",F81,Specific developmental disorders of scholastic skills,Specific developmental disorders of scholastic skills
F810,F80-F89,"Disorders of psychological development
",F81,Specific developmental disorders of scholastic skills,Specific reading disorder
F811,F80-F89,"Disorders of psychological development
",F81,Specific developmental disorders of scholastic skills,Specific spelling disorder
F812,F80-F89,"Disorders of psychological development
",F81,Specific developmental disorders of scholastic skills,Specific disorder of arithmetical skills
F813,F80-F89,"Disorders of psychological development
",F81,Specific developmental disorders of scholastic skills,Mixed disorder of scholastic skills
F818,F80-F89,"Disorders of psychological development
",F81,Specific developmental disorders of scholastic skills,Other developmental disorders of scholastic skills
F819,F80-F89,"Disorders of psychological development
",F81,Specific developmental disorders of scholastic skills,"Developmental disorder of scholastic skills, unspecified"
F82,F80-F89,"Disorders of psychological development
",F82,Specific developmental disorder of motor function,Specific developmental disorder of motor function
F83,F80-F89,"Disorders of psychological development
",F83,Mixed specific developmental disorders,Mixed specific developmental disorders
F84,F80-F89,"Disorders of psychological development
",F84,Pervasive developmental disorders,Pervasive developmental disorders
F840,F80-F89,"Disorders of psychological development
",F84,Pervasive developmental disorders,Childhood autism
F841,F80-F89,"Disorders of psychological development
",F84,Pervasive developmental disorders,Atypical autism
F842,F80-F89,"Disorders of psychological development
",F84,Pervasive developmental disorders,Rett's syndrome
F843,F80-F89,"Disorders of psychological development
",F84,Pervasive developmental disorders,Other childhood disintegrative disorder
F844,F80-F89,"Disorders of psychological development
",F84,Pervasive developmental disorders,Overactive disorder associated with mental retardation and stereotyped movements
F845,F80-F89,"Disorders of psychological development
",F84,Pervasive developmental disorders,Asperger's syndrome
F848,F80-F89,"Disorders of psychological development
",F84,Pervasive developmental disorders,Other pervasive developmental disorders
F849,F80-F89,"Disorders of psychological development
",F84,Pervasive developmental disorders,"Pervasive developmental disorder, unspecified"
F88,F80-F89,"Disorders of psychological development
",F88,Other disorders of psychological development,Other disorders of psychological development
F89,F80-F89,"Disorders of psychological development
",F89,Unspecified disorder of psychological development,Unspecified disorder of psychological development
F90,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F90,Hyperkinetic disorders,Hyperkinetic disorders
F900,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F90,Hyperkinetic disorders,Disturbance of activity and attention
F901,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F90,Hyperkinetic disorders,Hyperkinetic conduct disorder
F908,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F90,Hyperkinetic disorders,Other hyperkinetic disorders
F909,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F90,Hyperkinetic disorders,"Hyperkinetic disorder, unspecified"
F91,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F91,Conduct disorders,Conduct disorders
F910,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F91,Conduct disorders,Conduct disorder confined to the family context
F911,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F91,Conduct disorders,Unsocialised conduct disorder
F912,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F91,Conduct disorders,Socialised conduct disorder
F913,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F91,Conduct disorders,Oppositional defiant disorder
F918,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F91,Conduct disorders,Other conduct disorders
F919,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F91,Conduct disorders,"Conduct disorder, unspecified"
F92,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F92,Mixed disorders of conduct and emotions,Mixed disorders of conduct and emotions
F920,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F92,Mixed disorders of conduct and emotions,Depressive conduct disorder
F928,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F92,Mixed disorders of conduct and emotions,Other mixed disorders of conduct and emotions
F929,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F92,Mixed disorders of conduct and emotions,"Mixed disorder of conduct and emotions, unspecified"
F93,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F93,Emotional disorders with onset specific to childhood,Emotional disorders with onset specific to childhood
F930,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F93,Emotional disorders with onset specific to childhood,Separation anxiety disorder of childhood
F931,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F93,Emotional disorders with onset specific to childhood,Phobic anxiety disorder of childhood
F932,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F93,Emotional disorders with onset specific to childhood,Social anxiety disorder of childhood
F933,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F93,Emotional disorders with onset specific to childhood,Sibling rivalry disorder
F938,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F93,Emotional disorders with onset specific to childhood,Other childhood emotional disorders
F939,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F93,Emotional disorders with onset specific to childhood,"Childhood emotional disorder, unspecified"
F94,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F94,Disorders of social functioning with onset specific to childhood and adolescence,Disorders of social functioning with onset specific to childhood and adolescence
F940,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F94,Disorders of social functioning with onset specific to childhood and adolescence,Elective mutism
F941,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F94,Disorders of social functioning with onset specific to childhood and adolescence,Reactive attachment disorder of childhood
F942,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F94,Disorders of social functioning with onset specific to childhood and adolescence,Disinhibited attachment disorder of childhood
F948,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F94,Disorders of social functioning with onset specific to childhood and adolescence,Other childhood disorders of social functioning
F949,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F94,Disorders of social functioning with onset specific to childhood and adolescence,"Childhood disorder of social functioning, unspecified"
F95,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F95,Tic disorders,Tic disorders
F950,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F95,Tic disorders,Transient tic disorder
F951,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F95,Tic disorders,Chronic motor or vocal tic disorder
F952,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F95,Tic disorders,Combined vocal and multiple motor tic disorder [de la Tourette]
F958,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F95,Tic disorders,Other tic disorders
F959,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F95,Tic disorders,"Tic disorder, unspecified"
F98,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F980,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Nonorganic enuresis
F981,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Nonorganic encopresis
F982,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Feeding disorder of infancy and childhood
F983,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Pica of infancy and childhood
F984,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Stereotyped movement disorders
F985,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Stuttering [stammering]
F986,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Cluttering
F988,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F989,F90-F98,"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
",F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F99,F99-F99,"Unspecified mental disorder
",F99,"Mental disorder, not otherwise specified","Mental disorder, not otherwise specified"
G00,G00-G09,"Inflammatory diseases of the central nervous system
",G00,"Bacterial meningitis, not elsewhere classified","Bacterial meningitis, not elsewhere classified"
G000,G00-G09,"Inflammatory diseases of the central nervous system
",G00,"Bacterial meningitis, not elsewhere classified",Haemophilus meningitis
G001,G00-G09,"Inflammatory diseases of the central nervous system
",G00,"Bacterial meningitis, not elsewhere classified",Pneumococcal meningitis
G002,G00-G09,"Inflammatory diseases of the central nervous system
",G00,"Bacterial meningitis, not elsewhere classified",Streptococcal meningitis
G003,G00-G09,"Inflammatory diseases of the central nervous system
",G00,"Bacterial meningitis, not elsewhere classified",Staphylococcal meningitis
G008,G00-G09,"Inflammatory diseases of the central nervous system
",G00,"Bacterial meningitis, not elsewhere classified",Other bacterial meningitis
G009,G00-G09,"Inflammatory diseases of the central nervous system
",G00,"Bacterial meningitis, not elsewhere classified","Bacterial meningitis, unspecified"
G01,G00-G09,"Inflammatory diseases of the central nervous system
",G01,Meningitis in bacterial diseases classified elsewhere,Meningitis in bacterial diseases classified elsewhere
G02,G00-G09,"Inflammatory diseases of the central nervous system
",G02,Meningitis in other infectious and parasitic diseases classified elsewhere,Meningitis in other infectious and parasitic diseases classified elsewhere
G020,G00-G09,"Inflammatory diseases of the central nervous system
",G02,Meningitis in other infectious and parasitic diseases classified elsewhere,Meningitis in viral diseases classified elsewhere
G021,G00-G09,"Inflammatory diseases of the central nervous system
",G02,Meningitis in other infectious and parasitic diseases classified elsewhere,Meningitis in mycoses
G028,G00-G09,"Inflammatory diseases of the central nervous system
",G02,Meningitis in other infectious and parasitic diseases classified elsewhere,Meningitis in other specified infectious and parasitic diseases classified elsewhere
G03,G00-G09,"Inflammatory diseases of the central nervous system
",G03,Meningitis due to other and unspecified causes,Meningitis due to other and unspecified causes
G030,G00-G09,"Inflammatory diseases of the central nervous system
",G03,Meningitis due to other and unspecified causes,Nonpyogenic meningitis
G031,G00-G09,"Inflammatory diseases of the central nervous system
",G03,Meningitis due to other and unspecified causes,Chronic meningitis
G032,G00-G09,"Inflammatory diseases of the central nervous system
",G03,Meningitis due to other and unspecified causes,Benign recurrent meningitis [Mollaret]
G038,G00-G09,"Inflammatory diseases of the central nervous system
",G03,Meningitis due to other and unspecified causes,Meningitis due to other specified causes
G039,G00-G09,"Inflammatory diseases of the central nervous system
",G03,Meningitis due to other and unspecified causes,"Meningitis, unspecified"
G04,G00-G09,"Inflammatory diseases of the central nervous system
",G04,"Encephalitis, myelitis and encephalomyelitis","Encephalitis, myelitis and encephalomyelitis"
G040,G00-G09,"Inflammatory diseases of the central nervous system
",G04,"Encephalitis, myelitis and encephalomyelitis",Acute disseminated encephalitis
G041,G00-G09,"Inflammatory diseases of the central nervous system
",G04,"Encephalitis, myelitis and encephalomyelitis",Tropical spastic paraplegia
G042,G00-G09,"Inflammatory diseases of the central nervous system
",G04,"Encephalitis, myelitis and encephalomyelitis","Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"
G048,G00-G09,"Inflammatory diseases of the central nervous system
",G04,"Encephalitis, myelitis and encephalomyelitis","Other encephalitis, myelitis and encephalomyelitis"
G049,G00-G09,"Inflammatory diseases of the central nervous system
",G04,"Encephalitis, myelitis and encephalomyelitis","Encephalitis, myelitis and encephalomyelitis, unspecified"
G05,G00-G09,"Inflammatory diseases of the central nervous system
",G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere","Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
G050,G00-G09,"Inflammatory diseases of the central nervous system
",G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere","Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere"
G051,G00-G09,"Inflammatory diseases of the central nervous system
",G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere","Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere"
G052,G00-G09,"Inflammatory diseases of the central nervous system
",G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere","Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere"
G058,G00-G09,"Inflammatory diseases of the central nervous system
",G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere","Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere"
G06,G00-G09,"Inflammatory diseases of the central nervous system
",G06,Intracranial and intraspinal abscess and granuloma,Intracranial and intraspinal abscess and granuloma
G060,G00-G09,"Inflammatory diseases of the central nervous system
",G06,Intracranial and intraspinal abscess and granuloma,Intracranial abscess and granuloma
G061,G00-G09,"Inflammatory diseases of the central nervous system
",G06,Intracranial and intraspinal abscess and granuloma,Intraspinal abscess and granuloma
G062,G00-G09,"Inflammatory diseases of the central nervous system
",G06,Intracranial and intraspinal abscess and granuloma,"Extradural and subdural abscess, unspecified"
G07,G00-G09,"Inflammatory diseases of the central nervous system
",G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G08,G00-G09,"Inflammatory diseases of the central nervous system
",G08,Intracranial and intraspinal phlebitis and thrombophlebitis,Intracranial and intraspinal phlebitis and thrombophlebitis
G09,G00-G09,"Inflammatory diseases of the central nervous system
",G09,Sequelae of inflammatory diseases of central nervous system,Sequelae of inflammatory diseases of central nervous system
G10,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G10,Huntington's disease,Huntington's disease
G11,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G11,Hereditary ataxia,Hereditary ataxia
G110,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G11,Hereditary ataxia,Congenital nonprogressive ataxia
G111,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G11,Hereditary ataxia,Early-onset cerebellar ataxia
G112,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G11,Hereditary ataxia,Late-onset cerebellar ataxia
G113,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G11,Hereditary ataxia,Cerebellar ataxia with defective DNA repair
G114,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G11,Hereditary ataxia,Hereditary spastic paraplegia
G118,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G11,Hereditary ataxia,Other hereditary ataxias
G119,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G11,Hereditary ataxia,"Hereditary ataxia, unspecified"
G12,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G12,Spinal muscular atrophy and related syndromes,Spinal muscular atrophy and related syndromes
G120,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G12,Spinal muscular atrophy and related syndromes,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"
G121,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G12,Spinal muscular atrophy and related syndromes,Other inherited spinal muscular atrophy
G122,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G12,Spinal muscular atrophy and related syndromes,Motor neuron disease
G128,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G12,Spinal muscular atrophy and related syndromes,Other spinal muscular atrophies and related syndromes
G129,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G12,Spinal muscular atrophy and related syndromes,"Spinal muscular atrophy, unspecified"
G13,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
G130,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,Paraneoplastic neuromyopathy and neuropathy
G131,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,Other systemic atrophy primarily affecting central nervous system in neoplastic disease
G132,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,Systemic atrophy primarily affecting central nervous system in myxoedema
G138,G10-G13,"Systemic atrophies primarily affecting the central nervous system
",G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere
G20,G20-G26,"Extrapyramidal and movement disorders
",G20,Parkinson's disease,Parkinson's disease
G21,G20-G26,"Extrapyramidal and movement disorders
",G21,Secondary Parkinsonism,Secondary Parkinsonism
G210,G20-G26,"Extrapyramidal and movement disorders
",G21,Secondary Parkinsonism,Malignant neuroleptic syndrome
G211,G20-G26,"Extrapyramidal and movement disorders
",G21,Secondary Parkinsonism,Other drug-induced secondary Parkinsonism
G212,G20-G26,"Extrapyramidal and movement disorders
",G21,Secondary Parkinsonism,Secondary Parkinsonism due to other external agents
G213,G20-G26,"Extrapyramidal and movement disorders
",G21,Secondary Parkinsonism,Postencephalitic Parkinsonism
G218,G20-G26,"Extrapyramidal and movement disorders
",G21,Secondary Parkinsonism,Other secondary Parkinsonism
G219,G20-G26,"Extrapyramidal and movement disorders
",G21,Secondary Parkinsonism,"Secondary Parkinsonism, unspecified"
G22,G20-G26,"Extrapyramidal and movement disorders
",G22,Parkinsonism in diseases classified elsewhere,Parkinsonism in diseases classified elsewhere
G23,G20-G26,"Extrapyramidal and movement disorders
",G23,Other degenerative diseases of basal ganglia,Other degenerative diseases of basal ganglia
G230,G20-G26,"Extrapyramidal and movement disorders
",G23,Other degenerative diseases of basal ganglia,Hallervorden-Spatz disease
G231,G20-G26,"Extrapyramidal and movement disorders
",G23,Other degenerative diseases of basal ganglia,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]
G232,G20-G26,"Extrapyramidal and movement disorders
",G23,Other degenerative diseases of basal ganglia,Striatonigral degeneration
G238,G20-G26,"Extrapyramidal and movement disorders
",G23,Other degenerative diseases of basal ganglia,Other specified degenerative diseases of basal ganglia
G239,G20-G26,"Extrapyramidal and movement disorders
",G23,Other degenerative diseases of basal ganglia,"Degenerative disease of basal ganglia, unspecified"
G24,G20-G26,"Extrapyramidal and movement disorders
",G24,Dystonia,Dystonia
G240,G20-G26,"Extrapyramidal and movement disorders
",G24,Dystonia,Drug-induced dystonia
G241,G20-G26,"Extrapyramidal and movement disorders
",G24,Dystonia,Idiopathic familial dystonia
G242,G20-G26,"Extrapyramidal and movement disorders
",G24,Dystonia,Idiopathic nonfamilial dystonia
G243,G20-G26,"Extrapyramidal and movement disorders
",G24,Dystonia,Spasmodic torticollis
G244,G20-G26,"Extrapyramidal and movement disorders
",G24,Dystonia,Idiopathic orofacial dystonia
G245,G20-G26,"Extrapyramidal and movement disorders
",G24,Dystonia,Blepharospasm
G248,G20-G26,"Extrapyramidal and movement disorders
",G24,Dystonia,Other dystonia
G249,G20-G26,"Extrapyramidal and movement disorders
",G24,Dystonia,"Dystonia, unspecified"
G25,G20-G26,"Extrapyramidal and movement disorders
",G25,Other extrapyramidal and movement disorders,Other extrapyramidal and movement disorders
